current_run,Pedido,ordinal_entered,Cantidad Pedida,Distancia,Vehiculo Asignado,Usa Bomba,Inicio Carga,Inicio Viaje,Inicio Descarga,Inicio Vuelta,Llegada a Planta,Inicio Limpieza,Fin Limpieza,
934,16,10,6.0426,7.12715,Camion 8_2,0,0.428244,0.765808,1.05089,1.25231,1.5374,1.5374,2.00855,
934,12,4,11.1152,5.65274,Camion 15_2,0,0.234038,0.798752,1.02486,1.39537,1.62148,1.62148,2.25855,
934,10,3,9.53528,6.48096,Camion 11_2,0,0.564388,1.08365,1.34289,1.66073,1.91997,1.91997,2.50855,
934,14.1,5,5.7454,13.9269,Camion 8_3,0,0.894697,1.1447,1.70177,1.89329,2.45036,2.45036,2.75855,
934,14.2,5,5.7454,13.9269,Camion 8_1,0,1.1447,1.33621,1.89329,2.0848,2.64187,2.64187,3.00855,
934,5,11,13.3612,11.4074,Camion 15_1,0,1.3947,1.84007,2.29637,2.74174,3.19804,3.19804,3.44804,
934,17,7,10.9767,9.99949,Camion 11_1,0,1.75855,2.12444,2.52442,2.89031,3.29029,3.29029,3.69804,
934,11.1,6,7.19198,4.45836,Camion 8_2,0,2.45036,2.75855,2.93689,3.17662,3.35495,3.35495,3.94804,
934,11.2,6,7.19198,4.45836,Camion 8_3,0,2.75855,2.99829,3.17662,3.41635,3.59469,3.59469,4.19804,
934,15,13,12.7284,9.81021,Camion 15_2,1,2.25855,2.68283,3.07524,3.49952,3.89193,3.89193,4.44804,
934,2,9,9.00354,11.0529,Camion 11_2,0,2.50855,2.98295,3.42507,3.72519,4.16731,4.16731,4.69804,
934,8,12,8.16591,2.4881,Camion 11_1,0,3.69804,3.97024,4.06976,4.34196,4.44148,4.44148,4.94804,
934,9,16,12.4475,2.55486,Camion 15_1,0,3.44804,3.86296,3.96515,4.38007,4.48226,4.48226,5.19804,
934,1.1,14,6.10487,12.3707,Camion 8_1,0,3.35495,3.94804,4.44287,4.64636,5.14119,5.14119,5.44804,
934,1.2,14,6.10487,12.3707,Camion 8_2,0,3.94804,4.15153,4.64636,4.84986,5.34468,5.34468,5.69804,
934,3,18,14.4806,2.82087,Camion 15_2,0,4.44804,4.93073,5.04356,5.52625,5.63908,5.63908,5.94804,
934,6.1,17,6.15174,6.15587,Camion 8_3,0,5.14119,5.34625,5.59248,5.79754,6.04377,6.04377,6.29377,
934,6.2,17,6.15174,6.15587,Camion 11_1,0,5.34625,5.5513,5.79754,6.0026,6.24883,6.24883,6.54377,
934,7,15,9.45458,13.6596,Camion 11_2,1,4.69804,5.01319,5.55957,5.87473,6.42111,6.42111,6.79377,
935,16,9,6.0426,7.12715,Camion 8_1,0,0.000555556,0.201976,0.487062,0.688482,0.973567,0.973567,1.22357,
935,6,1,12.3035,6.15587,Camion 15_1,0,0.000555556,0.410671,0.656906,1.06702,1.31326,1.31326,1.56326,
935,4,16,7.00448,5.3397,Camion 8_2,1,0.410671,0.765808,0.979396,1.21288,1.42647,1.42647,1.81326,
935,13,6,9.91048,7.67269,Camion 11_1,0,0.000555556,0.532325,0.839233,1.16958,1.47649,1.47649,2.06326,
935,3.1,3,7.24032,2.82087,Camion 8_3,0,0.973567,1.22357,1.3364,1.57775,1.69058,1.69058,2.31326,
935,3.2,3,7.24032,2.82087,Camion 8_1,0,1.22357,1.46491,1.57775,1.81909,1.93192,1.93192,2.56326,
935,9,5,12.4475,2.55486,Camion 15_1,0,1.56326,1.97817,2.08037,2.49529,2.59748,2.59748,2.84748,
935,15,2,12.7284,9.81021,Camion 15_2,1,0.201976,1.42647,1.81888,2.24316,2.63557,2.63557,3.09748,
935,12.1,4,5.55762,5.65274,Camion 8_2,0,1.81326,2.31326,2.53937,2.72462,2.95073,2.95073,3.34748,
935,12.2,4,5.55762,5.65274,Camion 8_3,0,2.31326,2.49851,2.72462,2.90987,3.13598,3.13598,3.59748,
935,2,8,9.00354,11.0529,Camion 11_1,0,2.06326,2.36337,2.80549,3.10561,3.54773,3.54773,3.84748,
